time(s),ch0(V),ch1(V),ch2(V),ch3(V)
3.725,-0.2832,2.4991,2.4988,2.4991
3.7375,-0.3165,2.4991,2.4988,2.4991
3.75,-0.3467,2.4991,2.4988,2.4991
3.7625,-0.3745,2.4991,2.4988,2.4991
3.775,-0.4007,2.4991,2.4988,2.4991
3.7875,-0.4251,2.4991,2.4988,2.4991
3.8,-0.4459,2.4991,2.4988,2.4991
3.8125,-0.4636,2.4991,2.4988,2.4991
3.825,-0.4788,2.4991,2.4988,2.4991
3.8375,-0.4919,2.4991,2.4988,2.4991
3.85,-0.5008,2.4991,2.4988,2.4991
3.8625,-0.5075,2.4991,2.4988,2.4991
3.875,-0.5109,2.4991,2.4988,2.4991
3.8875,-0.5109,2.4991,2.4988,2.4991
3.9,-0.5075,2.4991,2.4985,2.4991
3.9125,-0.5014,2.4991,2.4988,2.4991
3.925,-0.4929,2.4991,2.4988,2.4991
3.9375,-0.4803,2.4991,2.4988,2.4991
3.95,-0.4648,2.4991,2.4985,2.4991
3.9625,-0.4468,2.4991,2.4988,2.4991
3.975,-0.426,2.4991,2.4988,2.4991
3.9875,-0.4025,2.4991,2.4988,2.4991
4.0,-0.376,2.4991,2.4988,2.4991
4.0125,-0.3479,2.4991,2.4988,2.4991
4.025,-0.318,2.4991,2.4988,2.4991
4.0375,-0.2859,2.4991,2.4988,2.4991
4.05,-0.2515,2.4991,2.4988,2.4991
4.0625,-0.2155,2.4991,2.4988,2.4991
4.075,-0.1794,2.4991,2.4988,2.4991
4.0875,-0.1419,2.4991,2.4988,2.4991
4.1,-0.1025,2.4991,2.4988,2.4991
4.1125,-0.0623,2.4991,2.4988,2.4991
4.125,-0.0235,2.4991,2.4988,2.4991
4.1375,0.0153,2.4991,2.4988,2.4991
4.15,0.0555,2.4991,2.4988,2.4991
4.1625,0.0952,2.4991,2.4988,2.4991
4.175,0.134,2.4991,2.4988,2.4991
4.1875,0.1715,2.4991,2.4985,2.4991
4.2,0.2087,2.4991,2.4988,2.4991
4.2125,0.2451,2.4991,2.4988,2.4991
4.225,0.2786,2.4991,2.4988,2.4991
4.2375,0.311,2.4991,2.4988,2.4991
4.25,0.3418,2.4991,2.4988,2.4991
4.2625,0.3699,2.4991,2.4988,2.4991
4.275,0.3955,2.4991,2.4988,2.4991
4.2875,0.4193,2.4991,2.4988,2.4991
4.3,0.4404,2.4991,2.4988,2.4991
4.3125,0.4584,2.4991,2.4988,2.4991
4.325,0.4739,2.4991,2.4988,2.4991
4.3375,0.4861,2.4991,2.4988,2.4991
4.35,0.4962,2.4991,2.4988,2.4991
4.3625,0.5023,2.4991,2.4988,2.4991
4.375,0.5048,2.4991,2.4988,2.4991
4.3875,0.5048,2.4991,2.4988,2.4991
4.4,0.5023,2.4991,2.4988,2.4991
4.4125,0.4962,2.4991,2.4988,2.4991
4.425,0.4861,2.4991,2.4985,2.4991
4.4375,0.4739,2.4991,2.4988,2.4991
4.45,0.459,2.4991,2.4988,2.4991
4.4625,0.441,2.4991,2.4988,2.4991
4.475,0.4196,2.4991,2.4988,2.4991
4.4875,0.3961,2.4991,2.4988,2.4991
4.5,0.3702,2.4991,2.4988,2.4991
4.5125,0.3421,2.4991,2.4988,2.4991
4.525,0.3116,2.4991,2.4988,2.4991
4.5375,0.2786,2.4991,2.4988,2.4991
4.55,0.2451,2.4991,2.4988,2.4991
4.5625,0.21,2.4991,2.4988,2.4991
4.575,0.1724,2.4991,2.4985,2.4991
4.5875,0.1343,2.4991,2.4988,2.4991
4.6,0.0955,2.4991,2.4988,2.4991
4.6125,0.0565,2.4991,2.4988,2.4991
4.625,0.0162,2.4991,2.4988,2.4991
4.6375,-0.0229,2.4991,2.4988,2.4991
4.65,-0.0623,2.4991,2.4988,2.4991
4.6625,-0.1016,2.4991,2.4988,2.4991
4.675,-0.141,2.4991,2.4988,2.4991
4.6875,-0.1788,2.4991,2.4988,2.4991
4.7,-0.2155,2.4991,2.4988,2.4991
4.7125,-0.2509,2.4991,2.4988,2.4991
4.725,-0.285,2.4991,2.4988,2.4991
4.7375,-0.3174,2.4991,2.4988,2.4991
4.75,-0.3479,2.4991,2.4988,2.4991
4.7625,-0.376,2.4991,2.4988,2.4991
4.775,-0.4022,2.4991,2.4988,2.4991
4.7875,-0.4257,2.4991,2.4988,2.4991
4.8,-0.4465,2.4991,2.4988,2.4991
4.8125,-0.4645,2.4991,2.4988,2.4991
4.825,-0.48,2.4991,2.4988,2.4991
4.8375,-0.4926,2.4991,2.4988,2.4991
4.85,-0.5014,2.4991,2.4988,2.4991
4.8625,-0.5075,2.4991,2.4988,2.4991
4.875,-0.5109,2.4991,2.4988,2.4991
4.8875,-0.5109,2.4991,2.4988,2.4991
4.9,-0.5075,2.4991,2.4988,2.4991
4.9125,-0.5014,2.4991,2.4988,2.4991
4.925,-0.4922,2.4991,2.4988,2.4991
4.9375,-0.4794,2.4991,2.4988,2.4991
4.95,-0.4636,2.4991,2.4988,2.4991
4.9625,-0.4459,2.4991,2.4988,2.4991
4.975,-0.4251,2.4991,2.4988,2.4991
