time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.123,2.19299316,,,
0.1232,2.19299316,,,
0.1234,2.19299316,,,
0.1236,2.19299316,,,
0.1238,2.19299316,,,
0.124,2.19299316,,,
0.1242,2.19299316,,,
0.1244,2.19299316,,,
0.1246,2.19299316,,,
0.1248,2.19299316,,,
0.125,2.19299316,,,
0.1252,2.19299316,,,
0.1254,2.19299316,,,
0.1256,2.19299316,,,
0.1258,2.19299316,,,
0.126,2.19299316,,,
0.1262,2.19299316,,,
0.1264,2.19299316,,,
0.1266,2.19299316,,,
0.1268,2.19299316,,,
0.127,2.19299316,,,
0.1272,2.19268799,,,
0.1274,2.19268799,,,
0.1276,2.19299316,,,
0.1278,2.19299316,,,
0.128,2.19299316,,,
0.1282,2.19299316,,,
0.1284,2.19268799,,,
0.1286,2.19299316,,,
0.1288,2.19268799,,,
0.129,2.19299316,,,
0.1292,2.19299316,,,
0.1294,2.19299316,,,
0.1296,2.19299316,,,
0.1298,2.19299316,,,
0.13,2.19299316,,,
0.1302,2.19299316,,,
0.1304,2.19268799,,,
0.1306,2.19299316,,,
0.1308,2.19299316,,,
0.131,2.19299316,,,
0.1312,2.19268799,,,
0.1314,2.19268799,,,
0.1316,2.19299316,,,
0.1318,2.19299316,,,
0.132,2.19299316,,,
0.1322,2.19268799,,,
0.1324,2.19268799,,,
0.1326,2.19299316,,,
0.1328,2.19299316,,,
0.133,2.19268799,,,
0.1332,2.19268799,,,
0.1334,2.19299316,,,
0.1336,2.19268799,,,
0.1338,2.19268799,,,
0.134,2.19268799,,,
0.1342,2.19268799,,,
0.1344,2.19299316,,,
0.1346,2.19299316,,,
0.1348,2.19268799,,,
0.135,2.19299316,,,
0.1352,2.19299316,,,
0.1354,2.19268799,,,
0.1356,2.19268799,,,
0.1358,2.19268799,,,
0.136,2.19299316,,,
0.1362,2.19268799,,,
0.1364,2.19299316,,,
0.1366,2.19299316,,,
0.1368,2.19268799,,,
0.137,2.19268799,,,
0.1372,2.19299316,,,
0.1374,2.19299316,,,
0.1376,2.19299316,,,
0.1378,2.19268799,,,
0.138,2.19299316,,,
0.1382,2.19299316,,,
0.1384,2.19268799,,,
0.1386,2.19299316,,,
0.1388,2.19268799,,,
0.139,2.19299316,,,
0.1392,2.19299316,,,
0.1394,2.19299316,,,
0.1396,2.19268799,,,
0.1398,2.19299316,,,
0.14,2.19268799,,,
0.1402,2.19299316,,,
0.1404,2.19299316,,,
0.1406,2.19329834,,,
0.1408,2.19299316,,,
0.141,2.19268799,,,
0.1412,2.19268799,,,
0.1414,2.19299316,,,
0.1416,2.19299316,,,
0.1418,2.19268799,,,
0.142,2.19299316,,,
0.1422,2.19268799,,,
0.1424,2.19299316,,,
0.1426,2.19299316,,,
0.1428,2.19299316,,,
0.143,2.19268799,,,
0.1432,2.19299316,,,
0.1434,2.19299316,,,
0.1436,2.19268799,,,
0.1438,2.19268799,,,
0.144,2.19299316,,,
0.1442,2.19268799,,,
0.1444,2.19299316,,,
0.1446,2.19299316,,,
0.1448,2.19268799,,,
0.145,2.19299316,,,
0.1452,2.19299316,,,
0.1454,2.19299316,,,
0.1456,2.19299316,,,
0.1458,2.19299316,,,
0.146,2.19299316,,,
0.1462,2.19299316,,,
0.1464,2.19268799,,,
0.1466,2.19299316,,,
0.1468,2.19299316,,,
0.147,2.19299316,,,
0.1472,2.19268799,,,
0.1474,2.19268799,,,
0.1476,2.19268799,,,
0.1478,2.19299316,,,
0.148,2.19299316,,,
0.1482,2.19299316,,,
0.1484,2.19268799,,,
0.1486,2.19268799,,,
0.1488,2.19268799,,,
0.149,2.19299316,,,
0.1492,2.19268799,,,
0.1494,2.19268799,,,
0.1496,2.19299316,,,
0.1498,2.19299316,,,
0.15,2.19299316,,,
0.1502,2.19299316,,,
0.1504,2.19299316,,,
0.1506,2.19299316,,,
0.1508,2.19299316,,,
0.151,2.19268799,,,
0.1512,2.19299316,,,
0.1514,2.19299316,,,
0.1516,2.19268799,,,
0.1518,2.19268799,,,
0.152,2.19268799,,,
0.1522,2.19299316,,,
0.1524,2.19299316,,,
0.1526,2.19268799,,,
0.1528,2.19299316,,,
0.153,2.19299316,,,
0.1532,2.19299316,,,
0.1534,2.19268799,,,
0.1536,2.19268799,,,
0.1538,2.19299316,,,
0.154,2.19268799,,,
0.1542,2.19299316,,,
0.1544,2.19299316,,,
0.1546,2.19299316,,,
0.1548,2.19268799,,,
0.155,2.19268799,,,
0.1552,2.19299316,,,
0.1554,2.19299316,,,
0.1556,2.19299316,,,
0.1558,2.19299316,,,
0.156,2.19299316,,,
0.1562,2.19268799,,,
0.1564,2.19299316,,,
0.1566,2.19268799,,,
0.1568,2.19299316,,,
0.157,2.19299316,,,
0.1572,2.19299316,,,
0.1574,2.19299316,,,
0.1576,2.19299316,,,
0.1578,2.19299316,,,
0.158,2.19299316,,,
0.1582,2.19268799,,,
0.1584,2.19299316,,,
0.1586,2.19299316,,,
0.1588,2.19268799,,,
0.159,2.19299316,,,
0.1592,2.19299316,,,
0.1594,2.19299316,,,
0.1596,2.19299316,,,
0.1598,2.19299316,,,
0.16,2.19268799,,,
0.1602,2.19299316,,,
0.1604,2.19268799,,,
0.1606,2.19299316,,,
0.1608,2.19299316,,,
0.161,2.19299316,,,
0.1612,2.19268799,,,
0.1614,2.19299316,,,
0.1616,2.19299316,,,
0.1618,2.19268799,,,
0.162,2.19268799,,,
0.1622,2.19299316,,,
0.1624,2.19268799,,,
0.1626,2.19299316,,,
0.1628,2.19299316,,,
0.163,2.19268799,,,
0.1632,2.19299316,,,
0.1634,2.19268799,,,
0.1636,2.19268799,,,
0.1638,2.19299316,,,
0.164,2.19299316,,,
0.1642,2.19299316,,,
0.1644,2.19299316,,,
0.1646,2.19299316,,,
0.1648,2.19268799,,,
0.165,2.19299316,,,
0.1652,2.19299316,,,
0.1654,2.19299316,,,
0.1656,2.19299316,,,
0.1658,2.19299316,,,
0.166,2.19268799,,,
0.1662,2.19299316,,,
0.1664,2.19299316,,,
0.1666,2.19299316,,,
0.1668,2.19299316,,,
0.167,2.19299316,,,
0.1672,2.19299316,,,
0.1674,2.19299316,,,
0.1676,2.19299316,,,
0.1678,2.19299316,,,
0.168,2.19299316,,,
0.1682,2.19299316,,,
0.1684,2.19299316,,,
0.1686,2.19299316,,,
0.1688,2.19299316,,,
0.169,2.19299316,,,
0.1692,2.19268799,,,
0.1694,2.19299316,,,
0.1696,2.19299316,,,
0.1698,2.19299316,,,
0.17,2.19268799,,,
0.1702,2.19299316,,,
0.1704,2.19268799,,,
0.1706,2.19268799,,,
0.1708,2.19299316,,,
0.171,2.19299316,,,
0.1712,2.19299316,,,
0.1714,2.19299316,,,
0.1716,2.19299316,,,
0.1718,2.19299316,,,
0.172,2.19299316,,,
0.1722,2.19299316,,,
0.1724,2.19299316,,,
0.1726,2.19299316,,,
0.1728,2.19299316,,,
0.173,2.19299316,,,
0.1732,2.19299316,,,
0.1734,2.19299316,,,
0.1736,2.19299316,,,
0.1738,2.19299316,,,
0.174,2.19299316,,,
0.1742,2.19299316,,,
0.1744,2.19299316,,,
0.1746,2.19299316,,,
0.1748,2.19299316,,,
0.175,2.19299316,,,
0.1752,2.19299316,,,
0.1754,2.19299316,,,
0.1756,2.19299316,,,
0.1758,2.19299316,,,
0.176,2.19299316,,,
0.1762,2.19299316,,,
0.1764,2.19268799,,,
0.1766,2.19268799,,,
0.1768,2.19299316,,,
0.177,2.19299316,,,
0.1772,2.19299316,,,
0.1774,2.19299316,,,
0.1776,2.19299316,,,
0.1778,2.19299316,,,
0.178,2.19268799,,,
0.1782,2.19299316,,,
0.1784,2.19299316,,,
